Sun Apr 24 00:53:53 2016    profile

         1412500 function calls (1409886 primitive calls) in 1.122 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\calendar.py:376(HTMLCalendar)
        6    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
        5    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1286(<setcomp>)
        5    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\classes.py:431(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\classes.py:250(Matrix)
        3    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\datetime.py:40(_days_before_year)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:855(addgroup)
        5    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\datetime.py:45(_days_in_month)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:808(get_filename)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\_strptime.py:178(TimeRE)
        3    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\datetime.py:1837(_create)
        1    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\pointListGenerator.py:73(generate_duration_list)
        1    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\classes.py:15(Calendar)
        4    0.000    0.000    0.000    0.000 {built-in method math.isclose}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\calendar.py:259(TextCalendar)
        6    0.000    0.000    0.000    0.000 {method 'isidentifier' of 'str' objects}
        4    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\classes.py:478(<listcomp>)
       10    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\sre_parse.py:161(__setitem__)
        3    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
       15    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\json\encoder.py:105(__init__)
       14    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:427(has_location)
        1    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\classes.py:901(CalendarMatrix)
        2    0.000    0.000    0.000    0.000 {method 'to_bytes' of 'int' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\calendar.py:132(__init__)
        6    0.000    0.000    0.000    0.000 {method 'partition' of 'str' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\json\encoder.py:74(JSONEncoder)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\_strptime.py:33(LocaleTime)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\codecs.py:259(__init__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\copyreg.py:87(__newobj__)
        1    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\functions.py:146(parsePriorities)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\_strptime.py:138(<listcomp>)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\datetime.py:934(tzinfo)
        3    0.000    0.000    0.000    0.000 {built-in method _imp.exec_builtin}
        1    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\classes.py:158(Event)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:653(create_module)
        8    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1181(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\json\decoder.py:253(JSONDecoder)
        5    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\datetime.py:292(_check_tzinfo_arg)
        5    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\_strptime.py:215(<genexpr>)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\json\decoder.py:20(JSONDecodeError)
        1    0.000    0.000    0.000    0.000 {method 'update' of 'dict' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\calendar.py:21(IllegalMonthError)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\calendar.py:71(__init__)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\calendar.py:500(LocaleTextCalendar)
        1    0.000    0.000    0.000    0.000 {method 'insert' of 'list' objects}
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\calendar.py:531(LocaleHTMLCalendar)
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\calendar.py:52(__init__)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:762(is_package)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\calendar.py:28(IllegalWeekdayError)
        1    0.000    0.000    0.000    0.000 C:\wamp\www\mesa\python\functions.py:172(parseRRule)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\calendar.py:488(different_locale)
        1    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\calendar.py:138(setfirstweekday)
        1    0.000    0.000    0.000    0.000 {method 'disable' of '_lsprof.Profiler' objects}
        1    0.000    0.000    0.000    0.000 {method '__getitem__' of 'dict' objects}
        2    0.000    0.000    0.000    0.000 C:\Program Files\Python35\lib\calendar.py:50(<lambda>)


